group,size_group,gs_cat,gs_subcat,size_cat.subcat,group_in_cat.subcat,pathway,size_pathway,group_in_pathway,k/K,pval,FDR,qvalue,genes
DMP/R,147,H,,4383,43,HALLMARK_IL2_STAT5_SIGNALING,199,1,0.005025125628140704,0.8657281920363855,0.8671081365254955,0.8183234682273279,PHTF2
DMP/R,147,H,,4383,43,HALLMARK_COMPLEMENT,200,1,0.005,0.8671081365254955,0.8671081365254955,0.8183234682273279,SERPING1
DMP/R,147,H,,4383,43,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,200,1,0.005,0.8671081365254955,0.8671081365254955,0.8183234682273279,SLIT3
DMP/R,147,H,,4383,43,HALLMARK_GLYCOLYSIS,200,1,0.005,0.8671081365254955,0.8671081365254955,0.8183234682273279,PKM
DMP/R,147,H,,4383,43,HALLMARK_INTERFERON_GAMMA_RESPONSE,200,1,0.005,0.8671081365254955,0.8671081365254955,0.8183234682273279,SERPING1
DMP/R,147,H,,4383,43,HALLMARK_KRAS_SIGNALING_DN,200,1,0.005,0.8671081365254955,0.8671081365254955,0.8183234682273279,BRDT
DMP/R,147,H,,4383,43,HALLMARK_KRAS_SIGNALING_UP,200,1,0.005,0.8671081365254955,0.8671081365254955,0.8183234682273279,ALDH1A3
DMP/R,147,H,,4383,43,HALLMARK_TNFA_SIGNALING_VIA_NFKB,200,1,0.005,0.8671081365254955,0.8671081365254955,0.8183234682273279,CFLAR
DMP,125,H,,4383,38,HALLMARK_HEME_METABOLISM,200,5,0.025,0.02772707768337118,0.8040852528177642,0.8040852528177642,"c(""TRAK2"", ""FN3K"", ""GCLM"", ""YPEL5"", ""DCAF11"")"
DMP,125,H,,4383,38,HALLMARK_PI3K_AKT_MTOR_SIGNALING,105,3,0.02857142857142857,0.061552486338474655,0.8317818381477754,0.8317818381477754,"c(""ITPR2"", ""RPTOR"", ""GSK3B"")"
DMP,125,H,,4383,38,HALLMARK_MYOGENESIS,200,4,0.02,0.09287288643242478,0.8317818381477754,0.8317818381477754,"c(""KCNH1"", ""EFS"", ""ADCY9"", ""ABLIM1"")"
DMP,125,H,,4383,38,HALLMARK_APICAL_JUNCTION,200,3,0.015,0.24967634430034275,0.8317818381477754,0.8317818381477754,"c(""CDH4"", ""NFASC"", ""PCDH1"")"
DMP,125,H,,4383,38,HALLMARK_E2F_TARGETS,200,3,0.015,0.24967634430034275,0.8317818381477754,0.8317818381477754,"c(""CIT"", ""RFC2"", ""MCM2"")"
DMP,125,H,,4383,38,HALLMARK_ESTROGEN_RESPONSE_EARLY,200,3,0.015,0.24967634430034275,0.8317818381477754,0.8317818381477754,"c(""MREG"", ""ADCY9"", ""ABLIM1"")"
DMP,125,H,,4383,38,HALLMARK_BILE_ACID_METABOLISM,112,2,0.017857142857142856,0.25333226349041715,0.8317818381477754,0.8317818381477754,"c(""GCLM"", ""SLC29A1"")"
DMP,125,H,,4383,38,HALLMARK_WNT_BETA_CATENIN_SIGNALING,42,1,0.023809523809523808,0.3075026126318675,0.8317818381477754,0.8317818381477754,AXIN1
DMP,125,H,,4383,38,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,49,1,0.02040816326530612,0.3488658268264061,0.8317818381477754,0.8317818381477754,GCLM
DMP,125,H,,4383,38,HALLMARK_DNA_REPAIR,150,2,0.013333333333333334,0.3756045549555077,0.8317818381477754,0.8317818381477754,"c(""RFC2"", ""NT5C"")"
DMP,125,H,,4383,38,HALLMARK_APOPTOSIS,161,2,0.012422360248447204,0.4098353125187022,0.8317818381477754,0.8317818381477754,"c(""CFLAR"", ""MADD"")"
DMP,125,H,,4383,38,HALLMARK_CHOLESTEROL_HOMEOSTASIS,74,1,0.013513513513513514,0.47785910428753764,0.8317818381477754,0.8317818381477754,ATXN2
DMP,125,H,,4383,38,HALLMARK_MITOTIC_SPINDLE,199,2,0.010050251256281407,0.5206849873153946,0.8317818381477754,0.8317818381477754,"c(""TBCD"", ""DYNC1H1"")"
DMP,125,H,,4383,38,HALLMARK_ESTROGEN_RESPONSE_LATE,200,2,0.01,0.5234224483559504,0.8317818381477754,0.8317818381477754,"c(""MOCS2"", ""SLC29A1"")"
DMP,125,H,,4383,38,HALLMARK_G2M_CHECKPOINT,200,2,0.01,0.5234224483559504,0.8317818381477754,0.8317818381477754,"c(""DTYMK"", ""MCM2"")"
DMP,125,H,,4383,38,HALLMARK_MTORC1_SIGNALING,200,2,0.01,0.5234224483559504,0.8317818381477754,0.8317818381477754,"c(""GSK3B"", ""MCM2"")"
DMP,125,H,,4383,38,HALLMARK_MYC_TARGETS_V1,200,2,0.01,0.5234224483559504,0.8317818381477754,0.8317818381477754,"c(""YWHAQ"", ""MCM2"")"
DMP,125,H,,4383,38,HALLMARK_ANDROGEN_RESPONSE,100,1,0.01,0.5855471568668107,0.8317818381477754,0.8317818381477754,ALDH1A3
DMP,125,H,,4383,38,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,113,1,0.008849557522123894,0.6309465697166773,0.8317818381477754,0.8317818381477754,EXOSC10
DMP,125,H,,4383,38,HALLMARK_SPERMATOGENESIS,135,1,0.007407407407407408,0.6969817279294543,0.8317818381477754,0.8317818381477754,CHFR
DMP,125,H,,4383,38,HALLMARK_COAGULATION,138,1,0.007246376811594203,0.705042929529718,0.8317818381477754,0.8317818381477754,SERPING1
DMP,125,H,,4383,38,HALLMARK_IL2_STAT5_SIGNALING,199,1,0.005025125628140704,0.8302400411988163,0.8317818381477754,0.8317818381477754,PHTF2
DMP,125,H,,4383,38,HALLMARK_COMPLEMENT,200,1,0.005,0.8317818381477754,0.8317818381477754,0.8317818381477754,SERPING1
DMP,125,H,,4383,38,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,200,1,0.005,0.8317818381477754,0.8317818381477754,0.8317818381477754,SLIT3
DMP,125,H,,4383,38,HALLMARK_GLYCOLYSIS,200,1,0.005,0.8317818381477754,0.8317818381477754,0.8317818381477754,PKM
DMP,125,H,,4383,38,HALLMARK_INTERFERON_GAMMA_RESPONSE,200,1,0.005,0.8317818381477754,0.8317818381477754,0.8317818381477754,SERPING1
DMP,125,H,,4383,38,HALLMARK_KRAS_SIGNALING_DN,200,1,0.005,0.8317818381477754,0.8317818381477754,0.8317818381477754,BRDT
DMP,125,H,,4383,38,HALLMARK_KRAS_SIGNALING_UP,200,1,0.005,0.8317818381477754,0.8317818381477754,0.8317818381477754,ALDH1A3
DMP,125,H,,4383,38,HALLMARK_TNFA_SIGNALING_VIA_NFKB,200,1,0.005,0.8317818381477754,0.8317818381477754,0.8317818381477754,CFLAR
DMR,44,H,,4383,14,HALLMARK_PI3K_AKT_MTOR_SIGNALING,105,2,0.01904761904761905,0.04288758659213134,0.28524425422856,0.2771604089670219,"c(""RPTOR"", ""ECSIT"")"
DMR,44,H,,4383,14,HALLMARK_SPERMATOGENESIS,135,2,0.014814814814814815,0.06728695463507874,0.28524425422856,0.2771604089670219,"c(""CHFR"", ""ZNRF4"")"
DMR,44,H,,4383,14,HALLMARK_APICAL_JUNCTION,200,2,0.01,0.13165119425933539,0.28524425422856,0.2771604089670219,"c(""CDH4"", ""SPEG"")"
DMR,44,H,,4383,14,HALLMARK_E2F_TARGETS,200,2,0.01,0.13165119425933539,0.28524425422856,0.2771604089670219,"c(""MCM2"", ""CIT"")"
DMR,44,H,,4383,14,HALLMARK_HEME_METABOLISM,200,2,0.01,0.13165119425933539,0.28524425422856,0.2771604089670219,"c(""FN3K"", ""DCAF11"")"
DMR,44,H,,4383,14,HALLMARK_MYOGENESIS,200,2,0.01,0.13165119425933539,0.28524425422856,0.2771604089670219,"c(""ABLIM1"", ""SPEG"")"
DMR,44,H,,4383,14,HALLMARK_CHOLESTEROL_HOMEOSTASIS,74,1,0.013513513513513514,0.21238286245744964,0.3944253159924065,0.38324727059990915,ACSS2
DMR,44,H,,4383,14,HALLMARK_COAGULATION,138,1,0.007246376811594203,0.36145222643527575,0.4804857216730888,0.466868717415147,APOC3
DMR,44,H,,4383,14,HALLMARK_IL2_STAT5_SIGNALING,199,1,0.005025125628140704,0.47874154903601995,0.4804857216730888,0.466868717415147,PHTF2
DMR,44,H,,4383,14,HALLMARK_ESTROGEN_RESPONSE_EARLY,200,1,0.005,0.4804857216730888,0.4804857216730888,0.466868717415147,ABLIM1
DMR,44,H,,4383,14,HALLMARK_G2M_CHECKPOINT,200,1,0.005,0.4804857216730888,0.4804857216730888,0.466868717415147,MCM2
DMR,44,H,,4383,14,HALLMARK_MTORC1_SIGNALING,200,1,0.005,0.4804857216730888,0.4804857216730888,0.466868717415147,MCM2
DMR,44,H,,4383,14,HALLMARK_MYC_TARGETS_V1,200,1,0.005,0.4804857216730888,0.4804857216730888,0.466868717415147,MCM2
DMP/R,147,C5,GO:BP,17872,113,GOBP_AXON_EXTENSION,121,5,0.04132231404958678,0.0010264309663874783,0.4360891046413088,0.42598593386931444,"c(""MAP2"", ""CDH4"", ""SLIT3"", ""LAMB2"", ""GSK3B"")"
DMP/R,147,C5,GO:BP,17872,113,GOBP_GROWTH_PLATE_CARTILAGE_CHONDROCYTE_DIFFERENTIATION,10,2,0.2,0.0017250192437057465,0.4360891046413088,0.42598593386931444,"c(""RARG"", ""COL27A1"")"
DMP/R,147,C5,GO:BP,17872,113,GOBP_NEGATIVE_REGULATION_OF_RECEPTOR_MEDIATED_ENDOCYTOSIS,38,3,0.07894736842105263,0.0017672184480767444,0.4360891046413088,0.42598593386931444,"c(""ATXN2"", ""NECAB2"", ""APOC3"")"
DMP/R,147,C5,GO:BP,17872,113,GOBP_NEGATIVE_REGULATION_OF_MICROTUBULE_POLYMERIZATION_OR_DEPOLYMERIZATION,40,3,0.075,0.0020508310624467335,0.4360891046413088,0.42598593386931444,"c(""MAP2"", ""TBCD"", ""MAP6D1"")"
DMP/R,147,C5,GO:BP,17872,113,GOBP_ORGANELLE_TRANSPORT_ALONG_MICROTUBULE,85,4,0.047058823529411764,0.002069590124389491,0.4360891046413088,0.42598593386931444,"c(""MAP2"", ""TRAK2"", ""MREG"", ""DYNC1H1"")"
DMP/R,147,C5,GO:BP,17872,113,GOBP_VESICLE_TRANSPORT_ALONG_MICROTUBULE,45,3,0.06666666666666667,0.002878812349052064,0.4360891046413088,0.42598593386931444,"c(""MAP2"", ""TRAK2"", ""DYNC1H1"")"
DMP/R,147,C5,GO:BP,17872,113,GOBP_REGULATION_OF_MICROTUBULE_CYTOSKELETON_ORGANIZATION,153,5,0.032679738562091505,0.002879815529377994,0.4360891046413088,0.42598593386931444,"c(""MAP2"", ""TBCD"", ""MAP6D1"", ""DYNC1H1"", ""GSK3B"")"
DMP/R,147,C5,GO:BP,17872,113,GOBP_NEGATIVE_REGULATION_OF_HIPPO_SIGNALING,13,2,0.15384615384615385,0.0029532007686890386,0.4360891046413088,0.42598593386931444,"c(""CIT"", ""SHANK2"")"
DMP/R,147,C5,GO:BP,17872,113,GOBP_DEVELOPMENTAL_CELL_GROWTH,227,6,0.02643171806167401,0.003212397942491828,0.4360891046413088,0.42598593386931444,"c(""MAP2"", ""CDH4"", ""RARG"", ""SLIT3"", ""LAMB2"", ""GSK3B"")"
DMP/R,147,C5,GO:BP,17872,113,GOBP_NEGATIVE_REGULATION_OF_MICROTUBULE_POLYMERIZATION,14,2,0.14285714285714285,0.003431208845394231,0.4360891046413088,0.42598593386931444,"c(""MAP2"", ""TBCD"")"
DMP/R,147,C5,GO:BP,17872,113,GOBP_COCHLEA_DEVELOPMENT,49,3,0.061224489795918366,0.003670045612597639,0.4360891046413088,0.42598593386931444,"c(""KCNQ1"", ""GABRB2"", ""MCM2"")"
DMP/R,147,C5,GO:BP,17872,113,GOBP_DEVELOPMENTAL_GROWTH_INVOLVED_IN_MORPHOGENESIS,234,6,0.02564102564102564,0.003727821565592276,0.4360891046413088,0.42598593386931444,"c(""MAP2"", ""CDH4"", ""RARG"", ""SLIT3"", ""LAMB2"", ""GSK3B"")"
DMP/R,147,C5,GO:BP,17872,113,GOBP_REGULATION_OF_ANATOMICAL_STRUCTURE_SIZE,487,9,0.018480492813141684,0.003760219585064915,0.4360891046413088,0.42598593386931444,"c(""MAP2"", ""CDH4"", ""CIT"", ""RARG"", ""GCLM"", ""RPTOR"", ""GSK3B"", ""PRKG1"", ""CDC42EP3"")"
DMP/R,147,C5,GO:BP,17872,113,GOBP_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_VIA_DEATH_DOMAIN_RECEPTORS,50,3,0.06,0.0038865044535607244,0.4360891046413088,0.42598593386931444,"c(""CFLAR"", ""MADD"", ""GSK3B"")"
DMP/R,147,C5,GO:BP,17872,113,GOBP_CHONDROCYTE_DIFFERENTIATION_INVOLVED_IN_ENDOCHONDRAL_BONE_MORPHOGENESIS,15,2,0.13333333333333333,0.0039427870681343945,0.4360891046413088,0.42598593386931444,"c(""RARG"", ""COL27A1"")"
DMP/R,147,C5,GO:BP,17872,113,GOBP_HIGH_DENSITY_LIPOPROTEIN_PARTICLE_REMODELING,16,2,0.125,0.004487499454278295,0.4360891046413088,0.42598593386931444,"c(""PLA2G3"", ""APOC3"")"
DMP/R,147,C5,GO:BP,17872,113,GOBP_METANEPHRIC_GLOMERULUS_DEVELOPMENT,16,2,0.125,0.004487499454278295,0.4360891046413088,0.42598593386931444,"c(""LGR4"", ""LAMB2"")"
DMP/R,147,C5,GO:BP,17872,113,GOBP_NEURON_PROJECTION_EXTENSION,172,5,0.029069767441860465,0.004740294643814368,0.4360891046413088,0.42598593386931444,"c(""MAP2"", ""CDH4"", ""SLIT3"", ""LAMB2"", ""GSK3B"")"
DMP/R,147,C5,GO:BP,17872,113,GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTRASPECIES_INTERACTION_BETWEEN_ORGANISMS,54,3,0.05555555555555555,0.0048293953628074145,0.4360891046413088,0.42598593386931444,"c(""KCNQ1"", ""RPTOR"", ""SHANK2"")"
DMP/R,147,C5,GO:BP,17872,113,GOBP_NEGATIVE_REGULATION_OF_RECEPTOR_INTERNALIZATION,17,2,0.11764705882352941,0.005064914107332274,0.4360891046413088,0.42598593386931444,"c(""ATXN2"", ""NECAB2"")"
DMP/R,147,C5,GO:BP,17872,113,GOBP_NONRIBOSOMAL_PEPTIDE_BIOSYNTHETIC_PROCESS,18,2,0.1111111111111111,0.005674603183446894,0.44166507930677196,0.43143272616432643,"c(""GGT7"", ""GCLM"")"
DMP/R,147,C5,GO:BP,17872,113,GOBP_REGULATION_OF_CELL_SIZE,180,5,0.027777777777777776,0.005734033020930713,0.44166507930677196,0.43143272616432643,"c(""MAP2"", ""CDH4"", ""RARG"", ""RPTOR"", ""GSK3B"")"
DMP/R,147,C5,GO:BP,17872,113,GOBP_NEGATIVE_REGULATION_OF_ENDOCYTOSIS,58,3,0.05172413793103448,0.0058991270755259905,0.44166507930677196,0.43143272616432643,"c(""ATXN2"", ""NECAB2"", ""APOC3"")"
DMP/R,147,C5,GO:BP,17872,113,GOBP_GROWTH_PLATE_CARTILAGE_DEVELOPMENT,19,2,0.10526315789473684,0.006316142858177988,0.4525767249389994,0.44209157433371304,"c(""RARG"", ""COL27A1"")"
DMP/R,147,C5,GO:BP,17872,113,GOBP_REGULATION_OF_CELLULAR_COMPONENT_SIZE,350,7,0.02,0.00683779982626638,0.4525767249389994,0.44209157433371304,"c(""MAP2"", ""CDH4"", ""CIT"", ""RARG"", ""RPTOR"", ""GSK3B"", ""CDC42EP3"")"
DMP/R,147,C5,GO:BP,17872,113,GOBP_VESICLE_LOCALIZATION,191,5,0.02617801047120419,0.007329041497496634,0.4525767249389994,0.44209157433371304,"c(""MAP2"", ""TRAK2"", ""MREG"", ""SYNDIG1"", ""DYNC1H1"")"
DMP/R,147,C5,GO:BP,17872,113,GOBP_P_BODY_ASSEMBLY,21,2,0.09523809523809523,0.007693098605070656,0.4525767249389994,0.44209157433371304,"c(""ATXN2"", ""DYNC1H1"")"
DMP/R,147,C5,GO:BP,17872,113,GOBP_REGULATION_OF_HIPPO_SIGNALING,21,2,0.09523809523809523,0.007693098605070656,0.4525767249389994,0.44209157433371304,"c(""CIT"", ""SHANK2"")"
DMP/R,147,C5,GO:BP,17872,113,GOBP_PEPTIDYL_THREONINE_MODIFICATION,123,4,0.032520325203252036,0.007729769953602853,0.4525767249389994,0.44209157433371304,"c(""CIT"", ""AXIN1"", ""RPTOR"", ""GSK3B"")"
DMP/R,147,C5,GO:BP,17872,113,GOBP_AXONAL_TRANSPORT,65,3,0.046153846153846156,0.008088869368936817,0.4525767249389994,0.44209157433371304,"c(""MAP2"", ""TRAK2"", ""DYNC1H1"")"
DMP/R,147,C5,GO:BP,17872,113,GOBP_CYTOSKELETON_DEPENDENT_INTRACELLULAR_TRANSPORT,196,5,0.025510204081632654,0.008147432330493021,0.4525767249389994,0.44209157433371304,"c(""MAP2"", ""TRAK2"", ""MREG"", ""MAP6D1"", ""DYNC1H1"")"
DMP/R,147,C5,GO:BP,17872,113,GOBP_CAMP_METABOLIC_PROCESS,22,2,0.09090909090909091,0.008427686829742926,0.4535148975255412,0.4430080116424078,"c(""PDE4A"", ""ADCY9"")"
DMP/R,147,C5,GO:BP,17872,113,GOBP_GLOMERULUS_DEVELOPMENT,67,3,0.04477611940298507,0.00879095636415553,0.45872808663866127,0.44810042328295174,"c(""CFLAR"", ""LGR4"", ""LAMB2"")"
DMP/R,147,C5,GO:BP,17872,113,GOBP_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_POTENTIAL,131,4,0.030534351145038167,0.00960097716669235,0.4711885025806697,0.46027216035449003,"c(""CHRNA4"", ""GABRB2"", ""SLC29A1"", ""GSK3B"")"
DMP/R,147,C5,GO:BP,17872,113,GOBP_CELL_DIFFERENTIATION_INVOLVED_IN_METANEPHROS_DEVELOPMENT,24,2,0.08333333333333333,0.009987043578590548,0.4711885025806697,0.46027216035449003,"c(""LGR4"", ""LAMB2"")"
DMP/R,147,C5,GO:BP,17872,113,GOBP_METANEPHRIC_EPITHELIUM_DEVELOPMENT,24,2,0.08333333333333333,0.009987043578590548,0.4711885025806697,0.46027216035449003,"c(""LGR4"", ""LAMB2"")"
DMP/R,147,C5,GO:BP,17872,113,GOBP_VESICLE_CYTOSKELETAL_TRAFFICKING,71,3,0.04225352112676056,0.010299512616552507,0.4711885025806697,0.46027216035449003,"c(""MAP2"", ""TRAK2"", ""DYNC1H1"")"
DMP/R,147,C5,GO:BP,17872,113,GOBP_PYRIMIDINE_DEOXYRIBONUCLEOTIDE_METABOLIC_PROCESS,25,2,0.08,0.010811007493516732,0.4711885025806697,0.46027216035449003,"c(""DTYMK"", ""NT5C"")"
DMP/R,147,C5,GO:BP,17872,113,GOBP_CELL_GROWTH,487,8,0.01642710472279261,0.012161900478334074,0.4711885025806697,0.46027216035449003,"c(""SMARCA4"", ""MAP2"", ""CDH4"", ""RARG"", ""SLIT3"", ""LAMB2"", ""RPTOR"", ""GSK3B"")"
DMP/R,147,C5,GO:BP,17872,113,GOBP_STRESS_GRANULE_ASSEMBLY,27,2,0.07407407407407407,0.012545523381509409,0.4711885025806697,0.46027216035449003,"c(""ATXN2"", ""DYNC1H1"")"
DMP/R,147,C5,GO:BP,17872,113,GOBP_RIBOSE_PHOSPHATE_METABOLIC_PROCESS,395,7,0.017721518987341773,0.012759914884186927,0.4711885025806697,0.46027216035449003,"c(""RPIA"", ""PKM"", ""PDE4A"", ""NT5C"", ""ADCY9"", ""PANK4"", ""ACSS2"")"
DMP/R,147,C5,GO:BP,17872,113,GOBP_AXO_DENDRITIC_TRANSPORT,77,3,0.03896103896103896,0.012827885982690843,0.4711885025806697,0.46027216035449003,"c(""MAP2"", ""TRAK2"", ""DYNC1H1"")"
DMP/R,147,C5,GO:BP,17872,113,GOBP_POSITIVE_REGULATION_OF_PEPTIDYL_THREONINE_PHOSPHORYLATION,28,2,0.07142857142857142,0.013455293414200079,0.4711885025806697,0.46027216035449003,"c(""AXIN1"", ""RPTOR"")"
DMP/R,147,C5,GO:BP,17872,113,GOBP_REGULATION_OF_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY,28,2,0.07142857142857142,0.013455293414200079,0.4711885025806697,0.46027216035449003,"c(""SMARCA4"", ""TRIM68"")"
DMP/R,147,C5,GO:BP,17872,113,GOBP_SLEEP,28,2,0.07142857142857142,0.013455293414200079,0.4711885025806697,0.46027216035449003,"c(""SLC29A1"", ""PER3"")"
DMP/R,147,C5,GO:BP,17872,113,GOBP_GLANDULAR_EPITHELIAL_CELL_DEVELOPMENT,29,2,0.06896551724137931,0.014392889733974967,0.4711885025806697,0.46027216035449003,"c(""RARG"", ""GSK3B"")"
DMP/R,147,C5,GO:BP,17872,113,GOBP_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY,153,4,0.026143790849673203,0.016191872694019626,0.4711885025806697,0.46027216035449003,"c(""CFLAR"", ""MADD"", ""GCLM"", ""GSK3B"")"
DMP/R,147,C5,GO:BP,17872,113,GOBP_BONE_GROWTH,31,2,0.06451612903225806,0.016350037939147,0.4711885025806697,0.46027216035449003,"c(""RARG"", ""COL27A1"")"
DMP/R,147,C5,GO:BP,17872,113,GOBP_CARTILAGE_DEVELOPMENT_INVOLVED_IN_ENDOCHONDRAL_BONE_MORPHOGENESIS,31,2,0.06451612903225806,0.016350037939147,0.4711885025806697,0.46027216035449003,"c(""RARG"", ""COL27A1"")"
DMP/R,147,C5,GO:BP,17872,113,GOBP_CHONDROCYTE_DEVELOPMENT,31,2,0.06451612903225806,0.016350037939147,0.4711885025806697,0.46027216035449003,"c(""RARG"", ""COL27A1"")"
DMP/R,147,C5,GO:BP,17872,113,GOBP_NEGATIVE_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_VIA_DEATH_DOMAIN_RECEPTORS,31,2,0.06451612903225806,0.016350037939147,0.4711885025806697,0.46027216035449003,"c(""CFLAR"", ""GSK3B"")"
DMP/R,147,C5,GO:BP,17872,113,GOBP_EYE_MORPHOGENESIS,154,4,0.025974025974025976,0.01654467714373551,0.4711885025806697,0.46027216035449003,"c(""RARG"", ""DZANK1"", ""ALDH1A3"", ""NRL"")"
DMP/R,147,C5,GO:BP,17872,113,GOBP_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_VIA_DEATH_DOMAIN_RECEPTORS,85,3,0.03529411764705882,0.016704621030740337,0.4711885025806697,0.46027216035449003,"c(""CFLAR"", ""MADD"", ""GSK3B"")"
DMP/R,147,C5,GO:BP,17872,113,GOBP_TRANSPORT_ALONG_MICROTUBULE,156,4,0.02564102564102564,0.017264692079651877,0.4711885025806697,0.46027216035449003,"c(""MAP2"", ""TRAK2"", ""MREG"", ""DYNC1H1"")"
DMP/R,147,C5,GO:BP,17872,113,GOBP_REGULATION_OF_MICROTUBULE_POLYMERIZATION_OR_DEPOLYMERIZATION,88,3,0.03409090909090909,0.018309313809164784,0.4711885025806697,0.46027216035449003,"c(""MAP2"", ""TBCD"", ""MAP6D1"")"
DMP/R,147,C5,GO:BP,17872,113,GOBP_REGULATION_OF_MEMBRANE_POTENTIAL,425,7,0.01647058823529412,0.018353424864382427,0.4711885025806697,0.46027216035449003,"c(""KCNH1"", ""CHRNA4"", ""KCNQ1"", ""GCLM"", ""GABRB2"", ""SLC29A1"", ""GSK3B"")"
